placeId,title,地址,聯絡方式,評價,genres
1,NKC ART,"No. 621號, Yingcai Rd",N/A,5,藝術人文
2,聖揚文化藝術基金會 Sunshine Culture and Arts Foundation,"No. 20號, Yongchun Rd",04 2382 7555,0,藝術人文
3,C Square Gallery,"No. 324號, Shizheng North 2nd Rd",04 2252 5177,5,藝術人文
4,現代畫廊,"Lane 155, Gongyi Rd, 9號B1",04 2305 1217,4.5,藝術人文
5,2樓劇院,"地下一樓B1F, No. 101號, Section 2, Huilai Rd",N/A,4.8,藝術人文
6,衡道堂,"No. 362號, Section 3, Fuxing Rd",04 2217 7777,4.2,藝術人文
7,Taichung Chungshan Hall,"No. 98號, Xueshi Rd",04 2230 3100,4.2,藝術人文
8,艾爾瑞特藝術所 藝廊 Ararat Art Partners Gallery,"No. 46號, Gongyi Rd",N/A,4.9,藝術人文
9,群島藝術園區 Islands Art Park,"No. 2號, Lane 277, Xi'an St",04 2452 4824,4.6,藝術人文
10,豐藝館Fong-Yi Art Gallery,"B1, No. 110號, Section 1, Wuquan W Rd",04 2376 0492,4.6,藝術人文
11,阿特文化創意有限公司,"Section 2, Taiwan Blvd, 779-7號7樓",04 2322 0305,5,藝術人文
12,ART2 PLAZA 親子美學館,"No. 328號, Gancheng St",04 2252 3711,4.8,藝術人文
13,雲趨掠藝術工作室,"No. 23號, Lane 140, Section 2, Liuchuan W Rd",N/A,5,藝術人文
14,愛力希異言堂 AllyC' Chat Room (公益品牌）,"Section 2, Taiwan Blvd, 186號24號樓之2",04 2328 4283,0,藝術人文
15,黑手藝術工作室,"Wuquan Rd, 2-30號4號樓之2號",04 2371 5458,5,藝術人文
16,鶴軒藝術 Ho Ho Arts,"No. 90號, Section 2, Huilai Rd",04 2251 7569,5,藝術人文
17,樂·森林 Music forest｜幼兒音樂藝術工坊｜幼兒主題活動｜半日銜接｜樂器演奏｜樂團團練,"No. 296號, Renhe Rd",N/A,4.9,藝術人文
18,旋曲交響管樂團,松竹北路47巷6號,0919 524 360,5,藝術人文
19,臺灣美術基金會藝術銀行,"No. 150號, Section 1, Ziyou Rd",04 2223 2220,4.4,藝術人文
20,Lei Gallery,"No.37, Lane, No. 50, Jingcheng Rd",N/A,4.8,藝術人文
21,Outdoor Fitness Area,"No. 5, Lane 59, Section 2, Songzhu Rd",N/A,0,運動休閒
22,Prime Badminton,"Fushun Rd, 台灣",04 2462 0390,5,運動休閒
